Tree Decompositions,Times
Features_tree54-2.ml.csv,6.991
Features_tree62-2.ml.csv,2.877
Features_tree51-8.ml.csv,6.062
Features_tree43-1.ml.csv,1.568
Features_tree55-1.ml.csv,7.867
Features_tree69-4.ml.csv,21.123
Features_tree48-6.ml.csv,7.069
Features_tree23-8.ml.csv,6.595
Features_tree56-7.ml.csv,5.975
Features_tree59-9.ml.csv,4.911
Features_tree62-9.ml.csv,2.815
Features_tree23-9.ml.csv,5.061
Features_tree70-4.ml.csv,3.782
Features_tree78-7.ml.csv,6.077
Features_tree67-9.ml.csv,12.691
Features_tree71-3.ml.csv,25.503
Features_tree61-8.ml.csv,9.66
Features_tree43-3.ml.csv,1.298
Features_tree27-2.ml.csv,4.558
Features_tree69-3.ml.csv,21.0
Features_tree14-10.ml.csv,3.877
Features_tree61-1.ml.csv,8.117
Features_tree64-8.ml.csv,1.085
Features_tree21-7.ml.csv,9.659
Features_tree79-7.ml.csv,5.881
Features_tree45-10.ml.csv,5.06
Features_tree65-10.ml.csv,1.953
Features_tree65-9.ml.csv,1.757
Features_tree53-5.ml.csv,5.97
Features_tree67-5.ml.csv,15.23
Features_tree77-8.ml.csv,1.634
Features_tree75-7.ml.csv,1.365
Features_tree54-5.ml.csv,6.978
Features_tree12-5.ml.csv,4.559
Features_tree25-3.ml.csv,1.272
Features_tree72-8.ml.csv,4.002
Features_tree74-2.ml.csv,0.907
Features_tree17-7.ml.csv,2.968
Features_tree48-1.ml.csv,6.378
Features_tree67-6.ml.csv,13.927
Features_tree61-4.ml.csv,9.193
Features_tree17-6.ml.csv,3.399
Features_tree48-4.ml.csv,6.378
Features_tree26-4.ml.csv,6.826
Features_tree50-7.ml.csv,7.366
Features_tree64-3.ml.csv,1.215
Features_tree22-3.ml.csv,2.291
Features_tree68-5.ml.csv,10.636
Features_tree50-3.ml.csv,7.796
Features_tree12-9.ml.csv,5.838
Features_tree20-5.ml.csv,15.066
Features_tree52-1.ml.csv,0.914
Features_tree18-3.ml.csv,8.569
Features_tree76-5.ml.csv,4.141
Features_tree66-1.ml.csv,1.17
Features_tree20-8.ml.csv,16.767
Features_tree19-6.ml.csv,4.544
Features_tree77-9.ml.csv,1.468
Features_tree52-6.ml.csv,0.742
Features_tree61-2.ml.csv,9.236
Features_tree43-9.ml.csv,1.371
Features_tree20-7.ml.csv,14.891
Features_tree50-10.ml.csv,7.034
Features_tree18-1.ml.csv,6.536
Features_tree40-1.ml.csv,1.518
Features_tree14-7.ml.csv,4.136
Features_tree59-5.ml.csv,5.116
Features_tree63-3.ml.csv,2.227
Features_tree15-7.ml.csv,2.896
Features_tree48-7.ml.csv,8.575
Features_tree78-5.ml.csv,7.143
Features_tree54-7.ml.csv,7.123
Features_tree42-6.ml.csv,1.731
Features_tree60-6.ml.csv,3.433
Features_tree75-10.ml.csv,1.757
Features_tree23-10.ml.csv,6.542
Features_tree58-8.ml.csv,13.498
Features_tree74-9.ml.csv,1.009
Features_tree55-3.ml.csv,9.061
Features_tree29-3.ml.csv,1.538
Features_tree28-6.ml.csv,9.219
Features_tree13-5.ml.csv,4.558
Features_tree11-1.ml.csv,10.231
Features_tree80-1.ml.csv,15.638
Features_tree26-5.ml.csv,7.55
Features_tree73-1.ml.csv,1.114
Features_tree17-5.ml.csv,3.502
Features_tree51-6.ml.csv,5.955
Features_tree75-9.ml.csv,1.662
Features_tree67-3.ml.csv,10.504
Features_tree16-3.ml.csv,2.258
Features_tree59-1.ml.csv,4.363
Features_tree64-10.ml.csv,1.032
Features_tree45-1.ml.csv,5.431
Features_tree30-6.ml.csv,3.897
Features_tree70-2.ml.csv,3.32
